132,Pelle Nuggis,26,0,6
131,Enno Poldre,21,0,4
247,Urmas Reinsalu,5055,19,1519
249,Mart Nutt,1968,21,798
248,Siim Valmar Kiisler,1388,8,502
253,Imre Rammul,344,1,126
251,Anneli Entson,337,3,131
254,Andres Öpik,304,2,151
256,Jüri Saar,290,1,81
250,Madis Kübar,193,1,72
252,Urmas Mardi,158,1,54
255,Matti Tarum,151,0,51
372,Peeter Kreitzberg,3144,4,999
373,Mart Meri,1833,5,617
375,Lauri Laats,1068,0,209
374,Kadi Pärnits,726,1,246
381,Jaak Kangilaski,292,0,76
376,Anto Liivat,253,0,101
378,Gerd Tarand,133,1,40
377,Tiia Tiik,109,0,43
379,Piret Kruuser,47,0,21
380,Alar Sepp,43,0,15
497,Urmas Paet,10779,35,3942
498,Aivar Sõerd,1615,1,697
500,Raivo Järvi,1501,2,641
499,Maret Maripuu,1458,10,518
504,Eero Merilind,226,1,83
506,Maris Liiders,162,0,62
501,Kaido Kaaberma,159,0,64
505,Tõnu Meijel,156,1,56
503,Õnne Pillak,153,0,52
502,Mati Lukas,100,1,53
622,Jüri Ratas,7620,6,848
624,Rainer Vakra,1259,1,146
625,Margarita Tšernogorova,1165,0,107
626,Igor Kravtšenko,928,0,91
631,Eduard Toman,634,1,132
623,Merike Martinson,592,0,83
627,Kalle Mihkels,185,0,29
630,Mark Levin,168,0,44
629,Peeter Mardna,133,0,25
628,Eha Võrk,112,0,17
726,Stanislav Tšerepanov,430,1,79
742,Tarmo Kruusmägi,197,2,33
743,Kalju Mätik,64,0,12
768,Mati Väärtnõu,128,0,31
769,Oliver Vilba,41,0,12
771,Kaarel Jaak Roosaare,27,0,9
770,Vladimir Afanasjev,27,0,4
772,Dmitri Petrjakov,14,1,2
847,Aldo Vinkel,270,1,65
859,Toomas Trapido,443,2,143
887,Henn Põlluaas,293,0,75
869,Ragnar Nurmik,43,1,6
134,Artur Talvik,2956,1,857
135,Tanel Ots,357,1,91
136,Agni Kaldma,141,1,57
137,Ahto Oja,115,2,44
142,Ero Liivik,77,0,19
140,Urmas Sepp,72,1,15
138,Maret Erm,63,1,18
147,Ain Kabal,59,0,29
146,Katrin Mesilane,59,0,24
145,Siiri Rebane,43,0,8
149,Jaan Vaabel,37,0,12
139,Kalju Valdmann,34,0,11
148,Milvi Ilves,33,0,5
141,Roman Antonis,28,0,8
143,Mari-Eva Ahja,25,0,11
144,Erko Soopalu,8,0,2
257,Mart Laar,9541,31,2979
258,Marko Mihkelson,3943,6,1708
259,Reet Roos,848,2,174
265,Andrus Saare,835,1,227
260,Lauri Vahtre,820,22,328
261,Tiit Leier,541,0,123
263,Kaupo Rätsepp,511,0,177
266,Art Kuum,501,1,110
262,Priidu Pärna,497,0,208
269,Henn Pärn,306,1,89
270,Elari Hiis,226,0,56
264,Haldo Oravas,217,0,67
267,Jan Trei,176,0,47
271,Vambo Kaal,176,0,53
268,Priit Põldmäe,160,0,40
272,Ann Räämet,91,0,24
382,Urve Palo,5875,4,1602
383,Karel Rüütli,1470,1,364
385,Tiit Tammsaar,882,0,220
387,Andra Veidemann,713,6,209
388,Tõnis Blank,574,0,145
384,Liina Vahter,512,1,113
386,Astrid Ojasoon,474,0,130
389,Rein Einasto,332,0,127
393,Annely Ajaots,248,0,61
395,Ülo Olm,146,1,37
392,Mati Õunloo,135,0,22
390,Priit Siitan,129,0,45
397,Alger Tammiste,97,0,17
396,Egge Kulbok-Lattik,82,1,29
394,Margus Talsi,48,0,11
391,Meelis Karro,42,0,8
507,Andrus Ansip,18967,41,5935
509,Kaja Kallas,7153,6,3017
510,Kalle Palling,1549,2,286
508,Jüri Jaanson,1178,2,378
514,Aare Heinvee,1017,0,282
521,Andre Sepp,676,0,150
513,Jaak Salumets,552,2,192
515,Tanel Mõistus,503,1,179
518,Leino Mägi,503,0,134
512,Kalev Lillo,474,0,152
511,Katrin Karisma-Krumm,438,1,139
522,Vello Jõgisoo,436,0,115
517,Allan Kiil,380,1,140
516,Andrus Umboja,230,0,75
519,Arvo Pärniste,219,0,84
520,Tarmo Vaik,194,0,60
632,Mailis Reps,2639,1,265
633,Aivar Riisalu,2189,3,311
634,Vladimir Velman,2016,1,222
637,Natalia Malleus,1122,1,130
647,Erki Savisaar,968,0,56
642,Vladimir Arhipov,531,0,59
640,Raivo Uukkivi,500,0,74
639,Ago Kokser,261,0,22
638,Jüri Võigemast,183,0,29
635,Värner Lootsmann,175,0,31
645,Jüri Lillsoo,173,0,18
636,Henrik Normann,156,0,19
646,Ardo Lass,75,0,10
643,Urmas Arumäe,74,0,16
644,Hans Liibek,67,0,16
641,Peeter Rebane,55,0,19
727,Andrei Širjajev,378,0,72
744,Peeter Paemurru,195,1,41
745,Margus Peterson,62,0,11
776,Arvo Sirendi,351,0,52
773,Viljar Jaamu,205,0,52
774,Ülle Kiviste,157,0,19
775,Sergei Jürgens,119,0,18
777,Meelis Niin,40,0,5
781,Jaan Pöör,38,0,8
778,Asko Kivinuk,17,0,9
780,Jüri Peterson,17,0,4
779,Sven-Erik Veimer,11,0,2
848,Ülle Kalvik,348,0,92
862,Leo Kunnas,3267,9,990
866,Siiri Sisask,771,0,213
858,Priit Tammeraid,163,0,55
863,Aare Siir,102,0,22
875,Koit Luus,57,0,15
868,Ege Hirv,49,0,18
150,Aleksei Lotman,1490,1,418
151,Mart Saarso,102,0,39
156,Anu-Lii Jürman,52,0,12
153,Kaido Kalf,49,0,15
152,Jana Stahl,35,1,10
155,Taavi Nuum,35,0,11
157,Alvi Rand,30,0,1
154,Mati Lepna,27,0,10
273,Tõnis Palts,2243,34,663
274,Alar Schönberg,1069,4,296
276,Toomas Takkis,712,7,276
275,Georg Linkov,441,0,161
279,Argo Kirss,441,1,126
280,Aivar Kroon,328,0,111
277,Enn Meri,284,9,94
278,Enn Laansoo,77,1,30
401,Neeme Suur,1970,1,427
405,Hannes Hanso,1878,0,509
399,Kalev Kotkas,1565,1,454
398,Kajar Lember,1363,3,304
402,Raimu Aardam,576,0,119
400,Rea Raus,491,2,120
403,Reet Kokovkin,218,0,74
404,Meelis Malk,126,0,21
523,Jaanus Tamkivi,3171,20,984
524,Urve Tiidus,3123,14,963
525,Lauri Luik,1931,1,533
526,Tarmo Mänd,1332,4,345
528,Jüri Kuusk,546,1,175
530,Kalev Kallemets,469,5,117
527,Ene Kaups,307,2,137
529,Toomas Kasemaa,255,0,117
649,Kalle Laanet,2566,2,331
648,Jaanus Karilaid,1416,1,105
651,Piret Sarjas,428,1,51
653,Mart Mäeker,244,0,31
650,Ants Vahtras,187,0,22
